date,rain_sum,precipitation_sum,wind_speed_10m_mean,wind_speed_10m_max
2025-02-13,0.0,0.0,2.54,3.67
2025-02-14,0.0,0.0,1.78,2.7
2025-02-15,0.0,0.0,2.05,3.69
2025-02-16,0.0,0.0,2.43,3.52
2025-02-17,0.0,0.0,2.63,3.48
2025-02-18,0.0,0.0,2.07,3.33
2025-02-19,0.0,0.0,1.77,3.3
2025-02-20,0.0,0.0,2.28,3.55
2025-02-21,0.0,0.0,2.71,3.87
2025-02-22,0.0,0.0,2.56,3.88
2025-02-23,0.0,0.0,2.83,5.36
2025-02-24,0.0,0.0,3.33,5.73
