date,rain_sum,precipitation_sum,wind_speed_10m_mean,wind_speed_10m_max
2025-02-10,0.0,0.0,2.65,3.47
2025-02-11,0.0,0.0,2.4,2.77
2025-02-12,0.0,0.0,2.52,3.67
2025-02-13,0.0,0.0,2.77,3.94
2025-02-14,0.0,0.0,2.33,3.01
2025-02-15,0.0,0.0,2.16,3.6
2025-02-16,0.0,0.0,2.59,3.62
2025-02-17,0.0,0.0,2.81,3.61
2025-02-18,0.0,0.0,2.66,3.62
2025-02-19,0.0,0.0,2.41,3.79
2025-02-20,0.0,0.0,2.84,3.91
2025-02-21,0.0,0.0,2.89,4.02
